,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace,name,grand_slams,most_recent_gs
0,1968-520,Roland Garros,Clay,128,G,19680527,7,100016,2.0,,Ken Rosewall,R,175.0,AUS,33.5660506502,100029,1.0,,Rod Laver,L,173.0,AUS,29.7987679671,6-3 6-1 2-6 6-2,5,F,,,,,,,,,,,,,,,,,,,,,,,,1968,1960s,,Ken Rosewall,4,1972
1,1968-540,Wimbledon,Grass,128,G,19680624,127,100029,1.0,,Rod Laver,L,173.0,AUS,29.8754277892,100100,15.0,,Tony Roche,L,178.0,AUS,23.1047227926,6-3 6-4 6-2,5,F,,,,,,,,,,,,,,,,,,,,,,,,1968,1960s,,Rod Laver,5,1969
2,1968-560,US Open,Grass,96,G,19680829,95,100074,5.0,,Arthur Ashe,R,185.0,USA,25.1389459274,100084,8.0,,Tom Okker,R,178.0,NED,24.5174537988,14-12 5-7 6-3 3-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1968,1960s,,Arthur Ashe,3,1975
3,1968-580,Australian Open,Grass,64,G,19680119,61,100079,1.0,,Bill Bowrey,R,,AUS,24.0684462697,100064,9.0,,Juan Gisbert,R,,ESP,25.7905544148,7-5 2-6 9-7 6-4,5,F,,,,,,,,,,,,,,,,,,,,,,,,1968,1960s,,Bill Bowrey,1,1968
4,1969-520,Roland Garros,Clay,128,G,19690528,127,100029,1.0,,Rod Laver,L,173.0,AUS,30.8008213552,100016,3.0,,Ken Rosewall,R,175.0,AUS,34.5681040383,6-4 6-3 6-4,5,F,,,,,,,,,,,,,,,,,,,,,,,,1969,1960s,,Rod Laver,5,1969
5,1969-540,Wimbledon,Grass,128,G,19690623,127,100029,1.0,,Rod Laver,L,173.0,AUS,30.8720054757,100087,6.0,,John Newcombe,R,183.0,AUS,25.0841889117,6-4 5-7 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,,,,,1969,1960s,,Rod Laver,5,1969
6,1969-560,US Open,Grass,128,G,19690827,300,100029,1.0,,Rod Laver,L,173.0,AUS,31.0499657769,100100,3.0,,Tony Roche,L,178.0,AUS,24.2792607803,7-9 6-1 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,,,,,1969,1960s,,Rod Laver,5,1969
7,1969-580,Australian Open,Grass,64,G,19690120,47,100029,1.0,,Rod Laver,L,173.0,AUS,30.4503764545,100026,,,Andres Gimeno,R,185.0,ESP,31.4661190965,6-3 6-4 7-5,5,F,,,,,,,,,,,,,,,,,,,,,,,,1969,1960s,,Rod Laver,5,1969
8,1970-520,Roland Garros,Clay,128,G,19700501,127,100113,7.0,,Jan Kodes,R,175.0,CZE,24.167008898,100141,5.0,,Zeljko Franulovic,R,,CRO,22.8829568789,6-2 6-4 6-0,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,,Jan Kodes,3,1973
9,1970-540,Wimbledon,Grass,128,G,19700622,127,100087,2.0,,John Newcombe,R,183.0,AUS,26.0807665982,100016,5.0,,Ken Rosewall,R,175.0,AUS,35.6358658453,5-7 6-3 6-3 3-6 6-1,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,,John Newcombe,5,1975
10,1970-560,US Open,Grass,128,G,19700902,107,100016,3.0,,Ken Rosewall,R,175.0,AUS,35.832991102,100100,4.0,,Tony Roche,L,178.0,AUS,25.2950034223,2-6 6-4 7-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,,Ken Rosewall,4,1972
11,1970-580,Australian Open,Grass,64,G,19700119,47,100074,4.0,,Arthur Ashe,R,185.0,USA,26.5297741273,100090,12.0,,Dick Crealy,R,,AUS,25.3360711841,6-4 9-7 6-2,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,,Arthur Ashe,3,1975
12,1971-520,Roland Garros,Clay,128,G,19710521,127,100113,1.0,,Jan Kodes,R,175.0,CZE,25.2210814511,100119,3.0,,Ilie Nastase,R,183.0,ROU,24.8377823409,8-6 6-2 2-6 7-5,5,F,,,,,,,,,,,,,,,,,,,,,,,,1971,1970s,,Jan Kodes,3,1973
13,1971-540,Wimbledon,Grass,128,G,19710621,127,100087,2.0,,John Newcombe,R,183.0,AUS,27.0773442847,100126,4.0,,Stan Smith,R,193.0,USA,24.5174537988,6-3 5-7 2-6 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,,,,,1971,1970s,,John Newcombe,5,1975
14,1971-560,US Open,Grass,128,G,19710901,127,100126,2.0,,Stan Smith,R,193.0,USA,24.7145790554,100113,,,Jan Kodes,R,175.0,CZE,25.5030800821,3-6 6-3 6-2 7-6,5,F,,,,,,,,,,,,,,,,,,,,,,,,1971,1970s,,Stan Smith,2,1972
