,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace
5071,1970-520,Roland Garros,Clay,128,G,19700501,127,100113,7.0,,Jan Kodes,R,175.0,CZE,24.167008898,100141,5.0,,Zeljko Franulovic,R,,CRO,22.8829568789,6-2 6-4 6-0,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,
5198,1970-540,Wimbledon,Grass,128,G,19700622,127,100087,2.0,,John Newcombe,R,183.0,AUS,26.0807665982,100016,5.0,,Ken Rosewall,R,175.0,AUS,35.6358658453,5-7 6-3 6-3 3-6 6-1,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,
5305,1970-560,US Open,Grass,128,G,19700902,107,100016,3.0,,Ken Rosewall,R,175.0,AUS,35.832991102,100100,4.0,,Tony Roche,L,178.0,AUS,25.2950034223,2-6 6-4 7-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,
5352,1970-580,Australian Open,Grass,64,G,19700119,47,100074,4.0,,Arthur Ashe,R,185.0,USA,26.5297741273,100090,12.0,,Dick Crealy,R,,AUS,25.3360711841,6-4 9-7 6-2,5,F,,,,,,,,,,,,,,,,,,,,,,,,1970,1970s,
8158,1971-520,Roland Garros,Clay,128,G,19710521,127,100113,1.0,,Jan Kodes,R,175.0,CZE,25.2210814511,100119,3.0,,Ilie Nastase,R,183.0,ROU,24.8377823409,8-6 6-2 2-6 7-5,5,F,,,,,,,,,,,,,,,,,,,,,,,,1971,1970s,
8285,1971-540,Wimbledon,Grass,128,G,19710621,127,100087,2.0,,John Newcombe,R,183.0,AUS,27.0773442847,100126,4.0,,Stan Smith,R,193.0,USA,24.5174537988,6-3 5-7 2-6 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,,,,,1971,1970s,
8412,1971-560,US Open,Grass,128,G,19710901,127,100126,2.0,,Stan Smith,R,193.0,USA,24.7145790554,100113,,,Jan Kodes,R,175.0,CZE,25.5030800821,3-6 6-3 6-2 7-6,5,F,,,,,,,,,,,,,,,,,,,,,,,,1971,1970s,
8459,1971-580,Australian Open,Grass,64,G,19710307,47,100016,2.0,,Ken Rosewall,R,175.0,AUS,36.3422313484,100074,3.0,,Arthur Ashe,R,185.0,USA,27.6577686516,6-1 7-5 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1971,1970s,
11436,1972-520,Roland Garros,Clay,64,G,19720522,63,100026,6.0,,Andres Gimeno,R,185.0,ESP,34.8008213552,100185,9.0,,Patrick Proisy,R,180.0,FRA,22.6967830253,4-6 6-3 6-1 6-1,5,F,,,,,,,,,,,,,,,,,,,,,,,,1972,1970s,
11579,1972-540,Wimbledon,Grass,128,G,19720626,127,100126,1.0,,Stan Smith,R,193.0,USA,25.5331964408,100119,2.0,,Ilie Nastase,R,183.0,ROU,25.9383983573,4-6 6-3 6-3 4-6 7-5,5,F,,,,,,,,,,,,,,,,,,,,,,,,1972,1970s,
11706,1972-560,US Open,Grass,128,G,19720830,127,100119,4.0,,Ilie Nastase,R,183.0,ROU,26.1163586585,100074,6.0,,Arthur Ashe,R,185.0,USA,29.1416837782,3-6 6-3 6-7 6-4 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1972,1970s,
11755,1972-580,Australian Open,Grass,64,G,19711226,300,100016,2.0,,Ken Rosewall,R,175.0,AUS,37.1471594798,100017,8.0,,Mal Anderson,R,,AUS,36.8158795346,7-6 6-3 7-5,5,F,,,,,,,,,,,,,,,,,,,,,,,,1972,1970s,
15529,1973-520,Roland Garros,Clay,128,G,19730521,127,100119,2.0,,Ilie Nastase,R,183.0,ROU,26.8391512663,100037,,,Nikola Pilic,L,,CRO,33.7330595483,6-3 6-3 6-0,5,F,,,,,,,,,,,,,,,,,,,,,,,,1973,1970s,
15656,1973-540,Wimbledon,Grass,128,G,19730625,127,100113,2.0,,Jan Kodes,R,175.0,CZE,27.318275154,100092,4.0,,Alex Metreveli,R,,RUS,28.643394935,6-1 9-8 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1973,1970s,
15783,1973-560,US Open,Grass,128,G,19730829,127,100087,10.0,,John Newcombe,R,183.0,AUS,29.2676249144,100113,6.0,,Jan Kodes,R,175.0,CZE,27.4962354552,6-4 1-6 4-6 6-2 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1973,1970s,
15838,1973-580,Australian Open,Grass,64,G,19721226,55,100087,2.0,,John Newcombe,R,183.0,AUS,28.5941136208,100135,12.0,,Onny Parun,R,188.0,NZL,25.7002053388,6-3 6-7 7-5 6-1,5,F,,,,,,,,,,,,,,,,,,,,,,,,1973,1970s,
19512,1974-520,Roland Garros,Clay,128,G,19740603,127,100437,3.0,,Bjorn Borg,R,180.0,SWE,17.9904175222,100174,14.0,,Manuel Orantes,L,178.0,ESP,25.3196440794,2-6 6-7 6-0 6-1 6-1,5,F,,,,,,,,,,,,,,,,,,,,8.0,0.0,12.0,0.0,1974,1970s,
19639,1974-540,Wimbledon,Grass,128,G,19740624,127,100284,3.0,,Jimmy Connors,L,178.0,USA,21.8069815195,100016,9.0,,Ken Rosewall,R,175.0,AUS,39.6413415469,6-1 6-1 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,0.0,109.0,0.0,1974,1970s,
19766,1974-560,US Open,Grass,128,G,19740828,127,100284,1.0,,Jimmy Connors,L,178.0,USA,21.9849418207,100016,5.0,,Ken Rosewall,R,175.0,AUS,39.819301848,6-1 6-0 6-1,5,F,,,,,,,,,,,,,,,,,,,,,,,,1974,1970s,
19829,1974-580,Australian Open,Grass,64,G,19731226,63,100284,2.0,,Jimmy Connors,L,178.0,USA,21.3141683778,100203,9.0,,Phil Dent,R,183.0,AUS,23.8631074606,7-6 6-4 4-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1974,1970s,
23703,1975-520,Roland Garros,Clay,128,G,19750604,127,100437,1.0,,Bjorn Borg,R,180.0,SWE,18.9924709103,100282,4.0,,Guillermo Vilas,L,180.0,ARG,22.7953456537,6-2 6-3 6-4,5,F,,,,,,,,,,,,,,,,,,,,4.0,0.0,3.0,0.0,1975,1970s,
23830,1975-540,Wimbledon,Grass,128,G,19750623,127,100074,6.0,,Arthur Ashe,R,185.0,USA,31.9534565366,100284,1.0,,Jimmy Connors,L,178.0,USA,22.803559206,6-1 6-1 5-7 6-4,5,F,,,,,,,,,,,,,,,,,,,,8.0,0.0,1.0,0.0,1975,1970s,
23957,1975-560,US Open,Clay,128,G,19750827,127,100174,3.0,,Manuel Orantes,L,178.0,ESP,26.5516769336,100284,1.0,,Jimmy Connors,L,178.0,USA,22.9815195072,6-4 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1975,1970s,
23988,1975-580,Australian Open,Grass,32,G,19741221,31,100087,,,John Newcombe,R,183.0,AUS,30.5790554415,100284,,,Jimmy Connors,L,178.0,USA,22.2997946612,7-5 3-6 6-4 7-6,5,F,,,,,,,,,,,,,,,,,,,,,,,,1975,1970s,
27789,1976-520,Roland Garros,Clay,128,G,19760531,127,100214,8.0,,Adriano Panatta,R,183.0,ITA,25.8945927447,100286,7.0,,Harold Solomon,R,168.0,USA,23.7015742642,6-1 6-4 4-6 7-6,5,F,,,,,,,,,,,,,,,,,,,,6.0,,13.0,,1976,1970s,
27916,1976-540,Wimbledon,Grass,128,G,19760621,127,100437,4.0,,Bjorn Borg,R,180.0,SWE,20.0410677618,100119,3.0,,Ilie Nastase,R,183.0,ROU,29.9247091034,6-4 6-2 9-7,5,F,,,,,,,,,,,,,,,,,,,,4.0,,7.0,,1976,1970s,
28043,1976-560,US Open,Clay,128,G,19760901,127,100284,1.0,,Jimmy Connors,L,178.0,USA,23.9972621492,100437,2.0,,Bjorn Borg,R,180.0,SWE,20.2381930185,6-4 3-6 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1976,1970s,
28106,1976-580,Australian Open,Grass,64,G,19751226,63,100337,,,Mark Edmondson,R,185.0,AUS,21.5058179329,100087,2.0,,John Newcombe,R,183.0,AUS,31.5920602327,6-7 6-3 7-6 6-1,5,F,,,,,,,,,,,,,,,,,,,,212.0,0.0,20.0,0.0,1976,1970s,
31871,1977-520,Roland Garros,Clay,128,G,19770523,300,100282,3.0,,Guillermo Vilas,L,180.0,ARG,24.7638603696,100261,5.0,,Brian Gottfried,R,183.0,USA,25.3196440794,6-0 6-3 6-0,5,F,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,1977,1970s,
31998,1977-540,Wimbledon,Grass,128,G,19770620,300,100437,2.0,,Bjorn Borg,R,180.0,SWE,21.0376454483,100284,1.0,,Jimmy Connors,L,178.0,USA,24.7967145791,3-6 6-2 6-1 5-7 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1977,1970s,
32125,1977-560,US Open,Clay,128,G,19770831,300,100282,4.0,,Guillermo Vilas,L,180.0,ARG,25.0376454483,100284,2.0,,Jimmy Connors,L,178.0,USA,24.9938398357,2-6 6-3 7-6 6-0,5,F,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,1977,1970s,
32188,1977-580,Australian Open,Grass,64,G,19770101,63,100255,2.0,,Roscoe Tanner,L,183.0,USA,25.2156057495,100282,1.0,,Guillermo Vilas,L,180.0,ARG,24.3750855578,6-3 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,10.0,,6.0,,1977,1970s,
32251,1977-581,Australian Open,Grass,64,G,19771219,63,100342,1.0,,Vitas Gerulaitis,R,183.0,USA,23.4004106776,100343,,,John Lloyd,R,178.0,GBR,23.3127994524,6-3 7-6 5-7 3-6 6-2,5,F,,,,,,,,,,,,,,,,,,,,5.0,,49.0,,1977,1970s,
35849,1978-520,Roland Garros,Clay,128,G,19780529,300,100437,1.0,,Bjorn Borg,R,180.0,SWE,21.9767282683,100282,2.0,,Guillermo Vilas,L,180.0,ARG,25.7796030116,6-1 6-1 6-3,5,F,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,1978,1970s,
35976,1978-540,Wimbledon,Grass,128,G,19780626,300,100437,1.0,,Bjorn Borg,R,180.0,SWE,22.0533880903,100284,2.0,,Jimmy Connors,L,178.0,USA,25.8124572211,6-2 6-2 6-3,5,F,,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,0.0,1978,1970s,
36103,1978-560,US Open,Hard,128,G,19780829,300,100284,2.0,,Jimmy Connors,L,178.0,USA,25.9876796715,100437,1.0,,Bjorn Borg,R,180.0,SWE,22.2286105407,6-4 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,,,,,1978,1970s,
36166,1978-580,Australian Open,Grass,64,G,19781226,63,100282,1.0,,Guillermo Vilas,L,180.0,ARG,26.3572895277,100293,,,John Marks,R,,AUS,26.045174538,6-4 6-4 3-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,3.0,,,,1978,1970s,
39968,1979-520,Roland Garros,Clay,128,G,19790528,300,100437,1.0,,Bjorn Borg,R,180.0,SWE,22.9733059548,100395,,,Victor Pecci,R,193.0,PAR,23.6167008898,6-3 6-1 6-7 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,29.0,,1979,1970s,
40095,1979-540,Wimbledon,Grass,128,G,19790625,300,100437,1.0,,Bjorn Borg,R,180.0,SWE,23.0499657769,100255,5.0,,Roscoe Tanner,L,183.0,USA,27.6933607118,6-7 6-1 3-6 6-3 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,1979,1970s,
40222,1979-560,US Open,Hard,128,G,19790828,300,100581,3.0,,John McEnroe,L,180.0,USA,20.5284052019,100342,4.0,,Vitas Gerulaitis,R,183.0,USA,25.0896646133,7-5 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,1979,1970s,
